Accession.No.	Uberstrain	Name	Sequencing.Platform	Sequencing.Library	Insert.Size	Experiment	Bases	Average.Length	Barcode	Source.Niche	Source.Type	Source.Details	Collection.Year	Collection.Month	Collection.Day	Collection.Time	Continent	Country	Region	District	City	Post.Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic.Formulas	Lab.Contact	Phage.Type	Comment	Bio.Project.ID	Project.ID	Sample.ID	Secondary.Sample.ID	Date.Entered	Release.Date	Status	Coverage	N50.x	Length	Species	Contig.Number...200.bp.	Low.Quality.Bases	Version	Assembly.Barcode	Project	Center	Technology	Processing.date	Predicted.Serovar	Predicted.Antigenic.Profile	ContamStatus	NumContamSNVs	percentContam	N50.y	Number.of.contigs	Largest.contig.x	Total.assembly.length	SNP.reference	Scaffolding.reference	X..contigs.....0.bp.	X..contigs.....1000.bp.	X..contigs.....5000.bp.	X..contigs.....10000.bp.	X..contigs.....25000.bp.	X..contigs.....50000.bp.	Total.length.....0.bp.	Total.length.....1000.bp.	Total.length.....5000.bp.	Total.length.....10000.bp.	Total.length.....25000.bp.	Total.length.....50000.bp.	X..contigs	Largest.contig.y	Total.length	Reference.length	GC....	Reference.GC....	N50	NG50	N75	NG75	L50	LG50	L75	LG75	X..misassemblies	X..misassembled.contigs	Misassembled.contigs.length	X..local.misassemblies	X..scaffold.gap.ext..mis.	X..scaffold.gap.loc..mis.	X..unaligned.mis..contigs	X..unaligned.contigs	X..unaligned.contigs_partial	Unaligned.length	Genome.fraction....	Duplication.ratio	X..N.s.per.100.kbp	X..mismatches.per.100.kbp	X..indels.per.100.kbp	X..genomic.features	X..genomic.features_partial	Largest.alignment	Total.aligned.length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	mean_depth_cov	std_depth_cov	breadth_cov
ERR3263783	SAL_XA2962AA	15-03637	ILLUMINA	Paired	350	ERX3290427	NA	NA	SAL_XA2962AA	Poultry	Avian	Layer Eggs	2015	NA	NA	NA	Europe	Germany	NA	NA	NA	NA	NA	NA	S. Enteritidis	I	NA	NA	ROBERT KOCH-INSTITUTE	NA	NA	PRJEB30317	ERP112758	SAMEA5548048	ERS3350099	11/06/2019	10/06/2019	Assembled	86	491954	4707921	"Salmonella enterica;100.0%"	34	6054	4	SAL_MB6456AA_AS	ADONIS	ROBERT_KOCH_INSTITUTE		2020-02-07T20:19:17.000Z	Enteritidis	9:g,m:-	True	3	7.27	4709961	11	4709961	4715352	Typhimurium_LT2_AE006468	Enteritidis_P125109	11.0	2	1	1	1	1	4715352.0	4711744	4709961	4709961	4709961	4709961	11	4709961	4715352	4685848	52.15	52.17	4709961	4709961	4709961	4709961	1	1	1	1	14	1	4709961	20	0.0	0.0	0	8	1	62714	99.194	1.001	0.59	2.62	0.45	4728	19	1957230	4652530	725589	725589	434584	434584	2	2	4	4	80.3677	32.95	91.83
ERR3263856	SAL_XA2889AA	16-01565	ILLUMINA	Paired	350	ERX3290500	NA	NA	SAL_XA2889AA	Poultry	Avian	Layer Eggs	2016	NA	NA	NA	Europe	Germany	NA	NA	NA	NA	NA	NA	S. Enteritidis	I	NA	NA	ROBERT KOCH-INSTITUTE	NA	NA	PRJEB30317	ERP112758	SAMEA5548121	ERS3350172	11/06/2019	10/06/2019	Assembled	121	492148	4701459	"Salmonella enterica;100.0%"	40	8709	4	SAL_MB6529AA_AS	ADONIS	ROBERT_KOCH_INSTITUTE		2020-02-07T20:26:10.000Z	Enteritidis	9:g,m:-	False	0	0	4696437	6	4696437	4697656	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	6.0	1	1	1	1	1	4697656.0	4696437	4696437	4696437	4696437	4696437	6	4696437	4697656	4774402	52.12	52.15	4696437	4696437	4696437	4696437	1	1	1	1	39	1	4696437	27	0.0	0.0	0	0	0	0	98.305	1.001	0.89	6.2	1.15	4369	54	1056264	4686145	375595	351932	133726	116586	4	5	9	10	110.4419	41.53	91.89
ERR3263865	SAL_XA2880AA	16-01876	ILLUMINA	Paired	350	ERX3290509	NA	NA	SAL_XA2880AA	Human	Human	"Homo Sapiens; Human"	2016	NA	NA	NA	Europe	Germany	NA	NA	NA	NA	NA	NA	S. Enteritidis	I	NA	NA	ROBERT KOCH-INSTITUTE	NA	NA	PRJEB30317	ERP112758	SAMEA5548130	ERS3350181	11/06/2019	10/06/2019	Assembled	76	406245	4707969	"Salmonella enterica;100.0%"	35	7484	4	SAL_MB6538AA_AS	ADONIS	ROBERT_KOCH_INSTITUTE		2020-02-07T20:30:19.000Z	Enteritidis	9:g,m:-	False	0	0	4712069	49	4712069	4733068	Typhimurium_LT2_AE006468	Enteritidis_P125109	49.0	2	1	1	1	1	4733068.0	4713852	4712069	4712069	4712069	4712069	49	4712069	4733068	4685848	52.11	52.17	4712069	4712069	4712069	4712069	1	1	1	1	21	1	4712069	29	0.0	0.0	0	42	1	77968	99.211	1.001	0.7	3.94	0.47	4715	33	1462045	4654224	489769	489769	306770	306770	3	3	6	6	69.7576	29.89	91.84
ERR3263904	SAL_XA2841AA	16-02940	ILLUMINA	Paired	350	ERX3290548	NA	NA	SAL_XA2841AA	Human	Human	"Homo Sapiens; Human"	2016	NA	NA	NA	Europe	Germany	NA	NA	NA	NA	NA	NA	S. Enteritidis	I	NA	NA	ROBERT KOCH-INSTITUTE	NA	NA	PRJEB30317	ERP112758	SAMEA5548170	ERS3350220	11/06/2019	10/06/2019	Assembled	96	492367	4702591	"Salmonella enterica;100.0%"	40	7951	4	SAL_MB6577AA_AS	ADONIS	ROBERT_KOCH_INSTITUTE		2020-02-07T20:41:43.000Z	Enteritidis	9:g,m:-	False	0	0	4705853	6	4705853	4707828	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	6.0	1	1	1	1	1	4707828.0	4705853	4705853	4705853	4705853	4705853	6	4705853	4707828	4774402	52.15	52.15	4705853	4705853	4705853	4705853	1	1	1	1	24	1	4705853	21	0.0	0.0	0	4	1	5779	98.427	1.001	0.51	5.62	0.74	4393	35	1509825	4695415	471052	471052	231490	182207	3	3	6	7	88.2757	35.25	92.19
ERR3263934	SAL_XA2811AA	16-03435	ILLUMINA	Paired	350	ERX3290578	NA	NA	SAL_XA2811AA	Human	Human	"Homo Sapiens; Human"	2016	NA	NA	NA	Europe	Germany	NA	NA	NA	NA	NA	NA	S. Enteritidis	I	NA	NA	ROBERT KOCH-INSTITUTE	NA	NA	PRJEB30317	ERP112758	SAMEA5548200	ERS3350250	11/06/2019	10/06/2019	Assembled	134	492341	4703968	"Salmonella enterica;100.0%"	41	7313	4	SAL_MB6607AA_AS	ADONIS	ROBERT_KOCH_INSTITUTE		2020-02-07T20:47:16.000Z	N/A	9:g,m:e,n,x,z15	False	0	0	4708160	7	4708160	4709628	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	7.0	1	1	1	1	1	4709628.0	4708160	4708160	4708160	4708160	4708160	7	4708160	4709628	4774402	52.15	52.15	4708160	4708160	4708160	4708160	1	1	1	1	25	1	4708160	30	0.0	0.0	0	0	0	0	98.46	1.002	0.64	6.42	1.02	4386	45	1101764	4699483	491053	491053	237202	231175	3	3	6	7	124.6154	49.84	92.05
ERR3675861	SAL_BB2592AA	1809F64652	ILLUMINA	Paired	300	ERX3667194	NA	NA	SAL_BB2592AA	Human	Human	"Homo sapiens; not provided"	2018	NA	NA	NA	Europe	Denmark	NA	NA	NA	NA	NA	NA	Enteritidis	NA	NA	NA	STATENS SERUM INSTITUT	NA	NA	PRJEB23609	ERP105371	SAMEA6242708	ERS4042389	30/11/2019	23/11/2019	Assembled	119	77235	4666513	"Salmonella enterica;99.12%"	127	40980	4.1	SAL_VB8809AA_AS	ADONIS	STATENS_SERUM_INSTITUT		2020-02-07T21:15:08.000Z	Enteritidis	9:g,m:-	False	0	0	4702341	3	4702341	4702826	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	-	2	2	2	2	2	-	4702259	4702259	4702259	4702259	4702259	4	4600648	4702744	4774402	52.18	52.15	4600648	4600648	4600648	4600648	1	1	1	1	34	1	4600648	40	-	-	0	2	1	4594	98.357	1	1.79	7.39	2.79	4372	57	711396	4691058	420326	420326	268585	181847	5	5	8	9	75.2417	34.13	92.25
ERR3675867	SAL_BB2586AA	1812M24017	ILLUMINA	Paired	300	ERX3667200	NA	NA	SAL_BB2586AA	Human	Human	"Homo sapiens; not provided"	2018	NA	NA	NA	Europe	Denmark	NA	NA	NA	NA	NA	NA	Enteritidis	NA	NA	NA	STATENS SERUM INSTITUT	NA	NA	PRJEB23609	ERP105371	SAMEA6242714	ERS4042395	30/11/2019	23/11/2019	Assembled	209	131081	4679606	"Salmonella enterica;98.61%"	86	45847	4.1	SAL_VB8815AA_AS	ADONIS	STATENS_SERUM_INSTITUT		2020-02-07T21:21:31.000Z	Enteritidis	9:g,m:-	False	0	0	4697971	1	4697971	4697971	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	-	2	2	2	2	2	-	4697880	4697880	4697880	4697880	4697880	2	2458594	4697880	4774402	52.17	52.15	2458594	2458594	2239286	2239286	1	1	2	2	40	2	4697880	44	-	-	0	0	1	3110	98.297	1	1.72	6.35	2.43	4352	75	784905	4687129	397299	397299	181670	181670	5	5	10	10	130.3121	55.3	92.18
ERR3675871	SAL_BB2582AA	1906W60871	ILLUMINA	Paired	300	ERX3667204	NA	NA	SAL_BB2582AA	Human	Human	"Homo sapiens; not provided"	2019	NA	NA	NA	Europe	Denmark	NA	NA	NA	NA	NA	NA	Enteritidis	NA	NA	NA	STATENS SERUM INSTITUT	NA	NA	PRJEB23609	ERP105371	SAMEA6242718	ERS4042399	30/11/2019	23/11/2019	Assembled	343	406208	4700271	"Salmonella enterica;96.55%"	42	34462	4.1	SAL_VB8819AA_AS	ADONIS	STATENS_SERUM_INSTITUT		2020-02-07T21:23:34.000Z	Enteritidis	9:g,m:-	False	0	0	4768460	1	4768460	4768460	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	1.0	1	1	1	1	1	4768460.0	4768460	4768460	4768460	4768460	4768460	1	4768460	4768460	4774402	52.16	52.15	4768460	4768460	4768460	4768460	1	1	1	1	21	1	4768460	24	0.0	0.0	0	0	1	2387	98.361	1.015	0.61	6.37	1.49	4382	43	1914717	4763715	478904	478904	295343	295343	2	2	5	5	214.9781	96.91	92.29
ERR653288	SAL_AA8436AA	907378	ILLUMINA	Paired	500	ERX609642	529329892	182	SAL_AA8436AA	Human	Human	Homo sapiens	2014	6	NA	NA	Europe	United Kingdom	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	University of Birmingham	NA	NA	PRJEB7465	ERP007194	SAMEA2813229	ERS565625	26/08/2015	10/10/2014	Assembled	113	492231	4710029	"Salmonella enterica;97.3%"	38	643	2.2	SAL_IA3458AA_AS	ADONIS	UBP_CNRS		2020-02-07T21:43:12.000Z	Enteritidis	9:g,m:-	False	0	0	4704701	3	4704701	4710307	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	3.0	2	2	1	1	1	4710307.0	4710097	4710097	4704701	4704701	4704701	3	4704701	4710307	4774402	52.14	52.15	4704701	4704701	4704701	4704701	1	1	1	1	25	1	4704701	18	0.0	0.0	0	1	1	7492	98.426	1.001	0.49	6.55	1.13	4396	36	1508587	4700517	471061	471061	230931	230931	3	3	7	7	107.8819	45.49	92.31
ERR653322	SAL_AA8411AA	908151	ILLUMINA	Paired	500	ERX609676	428794986	213	SAL_AA8411AA	Human	Human	Homo sapiens	2014	6	NA	NA	Europe	United Kingdom	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	University of Birmingham	NA	NA	PRJEB7465	ERP007194	SAMEA2813257	ERS565653	26/08/2015	10/10/2014	Assembled	91	115927	4756641	"Salmonella enterica;99.1%"	112	4975	2.2	SAL_IA5448AA_AS	ADONIS	UBP_CNRS		2020-02-07T22:04:20.000Z	Enteritidis	9:g,m:-	False	0	0	4698094	4	4698094	4704422	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	4.0	2	2	1	1	1	4704422.0	4703490	4703490	4698094	4698094	4698094	4	4698094	4704422	4774402	52.11	52.15	4698094	4698094	4698094	4698094	1	1	1	1	35	1	4698094	35	0.0	0.0	0	2	1	9338	98.29	1	1.06	6.39	1.66	4368	58	1509963	4693433	471013	471013	153304	153304	3	3	9	9	85.2548	35.83	92.2
SRR1106497	SAL_GA3629AA	BCW_2684	ILLUMINA	Paired	250	SRX425026	901957914	99	SAL_GA3629AA	Human	Human	"Homo sapiens; Human"	2009	NA	NA	NA	Europe	Denmark	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	University of California Davis - 100K Genome Project	NA	NA	PRJNA203445	SRP022914	SAMN02368562	SRS528688	01/07/2016	22/07/2015	Assembled	191	401468	4701079	"Salmonella enterica;100.0%"	42	431	3.41	SAL_LA5839AA_AS	ADONIS	UCD_100K		2020-02-07T22:12:37.000Z	Enteritidis	9:g,m:-	False	0	0	4699949	1	4699949	4699949	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	-	3	2	2	2	2	-	4699702	4697050	4697050	4697050	4697050	3	2641831	4699702	4774402	52.14	52.15	2641831	2641831	2055219	2055219	1	1	2	2	16	2	4697050	25	-	-	0	0	1	1766	98.346	1.001	0.96	6.56	2.07	4382	38	1915319	4690319	493815	493815	375753	375753	2	2	5	5	179.2435	61.04	92.27
SRR1586612	SAL_DA2659AA	FDA00004351	ILLUMINA	Paired	500	SRX710891	394853918	241	SAL_DA2659AA	Food	Composite Food	cake, countryside	2014	4	NA	NA	Europe	Lithuania	NA	NA	NA	NA	NA	NA	Enteritidis (Predicted)	NA	NA	NA	Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)	NA	NA	PRJNA186035	SRP018785	SAMN02847793	SRS709638	27/08/2015	26/09/2014	Assembled	84	406450	4706627	"Salmonella enterica;100.0%"	40	3076	2.2	SAL_FA2125AA_AS	ADONIS	CFSAN		2020-02-07T22:18:18.000Z	Enteritidis	9:g,m:-	False	0	0	4678372	12	4678372	4681919	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	12.0	1	1	1	1	1	4681919.0	4678372	4678372	4678372	4678372	4678372	12	4678372	4681919	4774402	52.15	52.15	4678372	4678372	4678372	4678372	1	1	1	1	25	1	4678372	17	0.0	0.0	0	5	1	6009	97.864	1.001	0.47	7.15	1.09	4359	37	1960932	4674052	491466	491466	229602	180612	2	2	5	6	77.4083	31.18	92.29
SRR1645351	SAL_DA1139AA	H123160634	ILLUMINA	Paired	NA	SRX754794	261324896	92	SAL_DA1139AA	Human	Human	"Human; Homo sapiens"	2012	8	NA	NA	Europe	United Kingdom	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	Public Health England - Gastrointestinal Bacteria Reference Unit	NA	NA	PRJNA248792	SRP042645	SAMN03168733	SRS740026	27/08/2015	16/11/2014	Assembled	56	292914	4733504	"Salmonella enterica;100.0%"	51	2546	2.2	SAL_CA8604AA_AS	ADONIS	GBRU		2020-02-07T22:19:11.000Z	Enteritidis	9:g,m:-	False	0	0	4698540	4	4698540	4733217	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	4.0	3	2	2	2	1	4733217.0	4733003	4729647	4729647	4729647	4698540	4	4698540	4733217	4774402	52.11	52.15	4698540	4698540	4698540	4698540	1	1	1	1	18	1	4698540	24	0.0	0.0	0	3	1	38379	98.315	1	1.25	8.65	3.05	4391	36	1915957	4688527	722972	722972	370634	370634	2	2	5	5	49.9866	24.54	92.33
SRR1646407	SAL_DA0375AA	H130100241	ILLUMINA	Paired	NA	SRX755827	3706935606	99	SAL_DA0375AA	Human	Human	"Human; Homo sapiens"	2012	12	NA	NA	Europe	United Kingdom	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	Public Health England - Gastrointestinal Bacteria Reference Unit	NA	NA	PRJNA248792	SRP042645	SAMN03169707	SRS741057	27/08/2015	16/11/2014	Assembled	788	489517	4710103	"Salmonella enterica;100.0%"	36	778	2.2	SAL_JA4211AA_AS	ADONIS	GBRU		2020-02-07T22:25:43.000Z	Enteritidis	9:g,m:-	False	0	0	4706799	12	4706799	4711584	Typhimurium_LT2_AE006468	Enteritidis_P125109	-	3	3	3	3	3	-	4706633	4706633	4706633	4706633	4706633	14	2573542	4711418	4685848	52.13	52.17	2573542	2573542	1914613	1914613	1	1	2	2	14	2	4488155	20	-	-	0	11	2	64798	99.087	1.001	1	2.54	1.77	4703	18	1549254	4645376	692877	692877	217523	217523	3	3	5	5	683.7956	308.09	91.99
SRR1763803	SAL_CA8730AA	CFSAN026642	ILLUMINA	Paired	500	SRX845953	459431742	231	SAL_CA8730AA	Human	Human	"human; Homo sapiens"	2011	NA	NA	NA	Europe	Belgium	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)	NA	NA	PRJNA259341	SRP046787	SAMN03165688	SRS821600	27/08/2015	16/01/2015	Assembled	97.63	406373	4705749	"Salmonella enterica;100.0%"	34	1670	2.1	SAL_BA8086AA_AS	ADONIS	CFSAN		2020-02-07T22:30:38.000Z	Enteritidis	9:g,m:-	False	0	0	4706095	1	4706095	4706095	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	1.0	1	1	1	1	1	4706095.0	4706095	4706095	4706095	4706095	4706095	1	4706095	4706095	4774402	52.14	52.15	4706095	4706095	4706095	4706095	1	1	1	1	25	1	4706095	17	0.0	0.0	0	0	1	3428	98.424	1.001	0.51	5.28	0.79	4398	35	1915710	4694034	492360	492360	304707	304707	2	2	5	5	91.1168	35.31	92.21
SRR1763807	SAL_CA8728AA	CFSAN026632	ILLUMINA	Paired	500	SRX845959	210401080	236	SAL_CA8728AA	Poultry	Avian	"broiler chicken; Gallus gallus"	2012	NA	NA	NA	Europe	Belgium	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)	NA	NA	PRJNA259341	SRP046787	SAMN03165678	SRS821605	27/08/2015	16/01/2015	Assembled	44.24	406172	4755876	"Salmonella enterica;100.0%"	46	7356	2.2	SAL_CA8467AA_AS	SEliban	unknown	illumina	2019-04-19T19:30:48.000Z	N/A	N/A	False	0	0	4710201	9	4710201	4750687	Typhimurium_LT2_AE006468	Enteritidis_P125109	9.0	3	2	2	2	1	4750687.0	4748996	4747213	4747213	4747213	4710201	9	4710201	4750687	4685848	52.05	52.17	4710201	4710201	4710201	4710201	1	1	1	1	21	1	4710201	16	0.0	0.0	0	3	1	96638	99.206	1.001	0.4	3.53	0.34	4724	25	1403650	4653468	557670	557670	228238	228238	3	3	6	6	42.0323	16.83	91.83
SRR1763821	SAL_CA8717AA	CFSAN026631	ILLUMINA	Paired	500	SRX845974	239915440	233	SAL_CA8717AA	Poultry	Avian	"duck; Anas boschas domestica"	2010	NA	NA	NA	Europe	Belgium	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)	NA	NA	PRJNA259341	SRP046787	SAMN03165677	SRS821616	27/08/2015	16/01/2015	Assembled	51.01	406372	4703761	"Salmonella enterica;100.0%"	29	6545	2.2	SAL_CA8464AA_AS	ADONIS	CFSAN		2020-02-07T22:44:44.000Z	Enteritidis	9:g,m:-	False	0	0	4711302	6	4711302	4713192	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	6.0	1	1	1	1	1	4713192.0	4711302	4711302	4711302	4711302	4711302	6	4711302	4713192	4774402	52.15	52.15	4711302	4711302	4711302	4711302	1	1	1	1	17	1	4711302	21	0.0	0.0	0	4	1	3832	98.562	1.001	0.45	5.4	0.87	4403	32	2410911	4702213	2410911	2410911	373255	373255	1	1	4	4	49.1526	18.05	92.19
SRR1763822	SAL_CA8716AA	CFSAN026641	ILLUMINA	Paired	500	SRX845975	181918506	231	SAL_CA8716AA	Human	Human	"human; Homo sapiens"	2011	NA	NA	NA	Europe	Belgium	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)	NA	NA	PRJNA259341	SRP046787	SAMN03165687	SRS821618	27/08/2015	16/01/2015	Assembled	38.68	406406	4703296	"Salmonella enterica;100.0%"	35	6583	2.1	SAL_BA8084AA_AS	ADONIS	CFSAN		2020-02-07T22:55:26.000Z	Enteritidis	9:g,m:-	False	0	0	4704744	4	4704744	4705685	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	4.0	1	1	1	1	1	4705685.0	4704744	4704744	4704744	4704744	4704744	4	4704744	4705685	4774402	52.14	52.15	4704744	4704744	4704744	4704744	1	1	1	1	24	1	4704744	24	0.0	0.0	0	1	0	431	98.408	1.001	0.47	6.41	0.81	4398	32	1915850	4696699	471055	434058	348558	230997	2	3	5	6	35.8681	14.29	92.11
SRR1763836	SAL_CA8705AA	CFSAN026640	ILLUMINA	Paired	500	SRX845989	214638202	233	SAL_CA8705AA	Human	Human	"human; Homo sapiens"	2011	NA	NA	NA	Europe	Belgium	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)	NA	NA	PRJNA259341	SRP046787	SAMN03165686	SRS821629	27/08/2015	16/01/2015	Assembled	46	406208	4717923	"Salmonella enterica;97.43%"	43	4593	2.2	SAL_CA8459AA_AS	ADONIS	CFSAN		2020-02-07T23:23:57.000Z	Enteritidis	9:g,m:-	False	0	0	4706446	9	4706446	4720438	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	9.0	4	2	1	1	1	4720438.0	4718893	4713333	4706446	4706446	4706446	9	4706446	4720438	4774402	52.13	52.15	4706446	4706446	4706446	4706446	1	1	1	1	25	1	4706446	28	0.0	0.0	0	5	0	13215	98.424	1.002	0.49	6.6	1.17	4390	38	1915742	4703108	471206	433357	230776	230776	2	3	6	6	41.9	17.31	92.16
SRR1763862	SAL_CA8686AA	CFSAN026633	ILLUMINA	Paired	500	SRX846015	255031512	236	SAL_CA8686AA	Livestock	Swine	"pig; Sus domesticus"	2013	NA	NA	NA	Europe	Belgium	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)	NA	NA	PRJNA259341	SRP046787	SAMN03165679	SRS821645	27/08/2015	16/01/2015	Assembled	53.77	406407	4742609	"Salmonella enterica;100.0%"	28	5287	2.1	SAL_BA8058AA_AS	ADONIS	CFSAN		2020-02-07T23:14:22.000Z	Enteritidis	9:g,m:-	False	0	0	4746394	5	4746394	4747896	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	5.0	1	1	1	1	1	4747896.0	4746394	4746394	4746394	4746394	4746394	5	4746394	4747896	4774402	52.12	52.15	4746394	4746394	4746394	4746394	1	1	1	1	22	1	4746394	24	0.0	0.0	0	3	1	44985	98.43	1.001	0.53	4.79	0.96	4388	39	1226747	4701957	490482	490482	304944	304944	3	3	6	6	51.2001	19.48	92.25
SRR1763865	SAL_CA8684AA	CFSAN026628	ILLUMINA	Paired	500	SRX846018	449308528	239	SAL_CA8684AA	Poultry	Avian	"chicken; Gallus gallus"	2007	NA	NA	NA	Europe	Belgium	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)	NA	NA	PRJNA259341	SRP046787	SAMN03165674	SRS821648	27/08/2015	16/01/2015	Assembled	96	406345	4713071	"Salmonella enterica;100.0%"	34	2452	2.2	SAL_CA8458AA_AS	ADONIS	CFSAN		2020-02-07T23:15:36.000Z	Enteritidis	9:g,m:-	False	0	0	4715832	5	4715832	4716933	Typhimurium_LT2_AE006468	Enteritidis_P125109	5.0	1	1	1	1	1	4716933.0	4715832	4715832	4715832	4715832	4715832	5	4715832	4716933	4685848	52.14	52.17	4715832	4715832	4715832	4715832	1	1	1	1	15	1	4715832	17	0.0	0.0	0	1	1	62500	99.233	1.001	0.55	3.44	0.32	4726	15	2684047	4653568	2684047	2684047	269197	269197	1	1	3	3	88.5953	33.52	91.9
SRR1957847	SAL_CA6721AA	62619	ILLUMINA	Paired	NA	SRX983249	329545062	99	SAL_CA6721AA	Human	Human	"Human; Homo sapiens"	2014	11	NA	NA	Europe	United Kingdom	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	Public Health England - Gastrointestinal Bacteria Reference Unit	NA	NA	PRJNA248792	SRP042645	SAMN03465749	SRS897871	27/08/2015	09/04/2015	Assembled	69	284173	4794677	"Salmonella enterica;100.0%"	40	856	2.2	SAL_JA5586AA_AS	ADONIS	GBRU		2020-02-07T23:30:24.000Z	Enteritidis	9:g,m:-	False	0	0	4741130	3	4741130	4795351	Typhimurium_LT2_AE006468	Enteritidis_P125109	-	5	4	4	4	4	-	4795199	4791550	4791550	4791550	4791550	5	3178783	4795199	4685848	52.04	52.17	3178783	3178783	1221120	1221120	1	1	2	2	17	3	4740978	34	-	-	0	2	2	148001	99.132	1	1.13	3.23	1.87	4713	22	1955868	4646210	650598	650598	305755	433301	2	2	5	4	62.3018	27.7	92.53
SRR1958610	SAL_CA5967AA	58534	ILLUMINA	Paired	NA	SRX984011	230401536	96	SAL_CA5967AA	Human	Human	"Human; Homo sapiens"	2014	10	NA	NA	Europe	United Kingdom	England	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	Public Health England - Gastrointestinal Bacteria Reference Unit	NA	NA	PRJNA248792	SRP042645	SAMN03466503	SRS898657	27/08/2015	09/04/2015	Assembled	47	210386	4911870	"Salmonella enterica;98.65%"	81	1728	2.2	SAL_JA6005AA_AS	ADONIS	GBRU		2020-02-07T23:35:42.000Z	N/A	9:g,m:-	False	0	0	4866440	6	4866440	4911485	Typhimurium_LT2_AE006468	Enteritidis_P125109	6.0	3	3	3	1	1	4911485.0	4910751	4910751	4910751	4866440	4866440	6	4866440	4911485	4685848	52.2	52.17	4866440	4866440	4866440	4866440	1	1	1	1	34	1	4866440	37	0.0	0.0	0	2	3	311578	98.092	1.001	1.08	49.39	3.81	4612	46	604731	4598191	291887	291887	180304	180397	6	6	12	11	43.1798	18.85	94.15
SRR1966855	SAL_CA3116AA	60046	ILLUMINA	Paired	NA	SRX988692	200715564	98	SAL_CA3116AA	Livestock	Bovine	ND	2014	10	NA	NA	Europe	United Kingdom	NA	NA	London	NA	51.5	0	Enteritidis	I	NA	NA	Public Health England - Gastrointestinal Bacteria Reference Unit	NA	NA	PRJNA248792	SRP042645	SAMN03476933	SRS903576	27/08/2015	12/04/2015	Assembled	41	152914	4898102	"Salmonella enterica;100.0%"	57	3093	2.2	SAL_CA7900AA_AS	ADONIS	GBRU		2020-02-07T23:46:35.000Z	N/A	9:g,m:-	False	0	0	4820185	7	4820185	4910047	Typhimurium_LT2_AE006468	Enteritidis_P125109	-	4	3	3	3	3	-	4908350	4907057	4907057	4907057	4907057	9	3241622	4909901	4685848	52.2	52.17	3241622	3241622	1578164	1578164	1	1	2	2	38	2	4819786	48	-	-	0	5	2	308323	98.109	1.001	1.02	49.4	4.02	4613	48	712501	4595865	368787	368787	152850	180304	5	5	11	10	38.0363	15.7	94.12
